Paper_ID,Title,Year,Authors,Publisher,Category,Primary Problem,Proposed Solution,Methodology,Dataset/Benchmark,Strengths,Weaknesses,Research Gap,Similarity to ACIE,Novelty Opportunity,Status
P01,Compressed Context Memory for Online Language Model Interaction,2024,"Jang-Hyun Kim; Junyoung Yeom; Sangdoo Yun; Hyun Oh Song",ICLR,Memory Compression,Growing context increases memory and computation costs,Dynamic compressed context memory using KV compression and conditional LoRA,Parallel compression training with dynamic memory updates,"MetaICL; LaMP; DailyDialog",High memory efficiency; improved throughput; streaming support,No adaptive context intelligence or explainability,Missing intelligent decision layer,High,Adaptive context intelligence before compression,CompletedP02,Extending Context Window of Large Language Models via Semantic Compression,2024,TBD,ACL,Semantic Compression,,,,,,,,,,Not Started
P02,Extending Context Window of Large Language Models via Semantic Compression,2024,"Wei Fei; Xiaoyu Niu; Peng Zhou; Lianhui Hou; Baobao Chang; Zhifang Sui",ACL Findings,Semantic Compression,Limited LLM context window and high computational cost,Semantic clustering and compression of long contexts,Semantic embeddings and clustering with compression,"2WikiMQA; HotpotQA; MuSiQue; GovReport; Passkey Retrieval",Semantic-aware compression; efficient long-context reasoning; preserves fluency,No adaptive context intelligence or explainability,Missing intelligent context decision layer,Medium-High,Adaptive context intelligence before semantic compression,CompletedP04,Compressing Context to Enhance Inference Efficiency of Large Language Models,2023,TBD,ACL,Inference Optimization,,,,,,,,,,Not Started
P03,In-context Autoencoder for Context Compression in a Large Language Model,2024,"Tianyu Ge; Hanyu Jing; Lei Wang; Xun Wang; Si-Qing Chen; Furu Wei",ICLR,Context Compression,Limited LLM context window and high inference cost,Compress long contexts into learned latent memory slots using an autoencoder and LoRA,LoRA encoder with learned memory slots and instruction fine-tuning,"The Pile; Prompt-with-Context (PWC)",Efficient compression; lightweight architecture; strong long-context performance,No adaptive context intelligence or explainability,Missing intelligent context decision layer,Medium-High,Adaptive context intelligence before compression,Completed
P04,Adapting Language Models to Compress Contexts,2023,"Alexander Chevalier; Alexander Wettig; Anirudh Ajith; Danqi Chen",EMNLP,Context Compression,Limited LLM context window and high inference cost,Learned summary vectors using AutoCompressors for efficient context compression,Pretrained language model adaptation with learned summary vectors,"Language Modeling; Few-shot In-context Learning Benchmarks",Efficient compression; reduced inference cost; compatible with pretrained LLMs,Static compression without adaptive context intelligence,Missing intelligent context decision layer,Medium,Adaptive context intelligence before compression,Completed
P05,Adapting Language Models to Compress Contexts,2023,"Alexander Chevalier; Alexander Wettig; Anirudh Ajith; Danqi Chen",EMNLP,Context Compression,Long-context inference is computationally expensive,Compress context into learned summary vectors using AutoCompressors,Segment-wise compression with summary accumulation,"The Pile; Books3; Wikipedia; GitHub; RedPajama",Efficient learned compression and strong language modeling performance,Static compression without adaptive context reasoning,Missing intelligent context decision layer,Medium,Adaptive context intelligence before compression,Completed
P06,Contextual Compression in Retrieval-Augmented Generation for Large Language Models: A Survey,2024,"Sourav Verma",arXiv,Survey,Reviews contextual compression techniques for RAG and identifies current limitations,Provides taxonomy of existing contextual compression methods,Systematic literature review with taxonomy and benchmark analysis,"Multiple benchmark datasets and evaluation metrics",Comprehensive overview and future research directions,No new compression algorithm or experimental implementation,Dynamic contextual compression and explainability remain open challenges,Medium,Adaptive context intelligence and explainable memory management,Completed
P06,Contextual Compression in Retrieval-Augmented Generation for Large Language Models: A Survey,2024,"Sourav Verma",arXiv,Survey,Reviews contextual compression techniques for RAG and identifies current limitations,Provides taxonomy of existing contextual compression methods,Systematic literature review with taxonomy and benchmark analysis,"Multiple benchmark datasets and evaluation metrics",Comprehensive overview and future research directions,No new compression algorithm or experimental implementation,Dynamic contextual compression and explainability remain open challenges,Medium,Adaptive context intelligence and explainable memory management,Completed
P07,Pretrained Context Compressor (PCC),2025,"(Authors from paper first page)",ACL,Context Compression,High inference cost and limited context windows,Compresses long contexts into reusable memory embeddings,Pretraining with text completion and reconstruction followed by QA fine-tuning,"SQuAD; HotPotQA; AdversarialQA; Natural Questions",Efficient memory embeddings; cached inference; strong QA performance,Fixed compression policy without adaptive reasoning,Missing intelligent context decision layer,High,Adaptive context intelligence before compression,Completed
P08,500xCompressor: Generalized Prompt Compression for Large Language Models,2025,"Zongqian Li; Yijia Su; Nigel Collier",ACL,Prompt Compression,Long prompts increase inference cost and exceed context limits,Generalized prompt compression with extremely high compression ratios,Task-independent prompt compression model evaluated across multiple benchmarks,"ArxivQA; LongBench and related prompt compression benchmarks",High compression ratios with strong downstream performance,No adaptive context intelligence or explainability,Missing intelligent context decision layer,Medium,Adaptive context intelligence before prompt compression,Completed
P09,In-context Former: Lightning-fast Compressing Context for Large Language Models,2024,"(Authors from first page)",EMNLP Findings,Context Compression,High computational cost for long-context inference,Compress long contexts into digest tokens using a lightweight transformer,IC-Former encoder with digest token generation,"Long-context reasoning benchmarks",Fast compression; reduced latency; efficient memory usage,No adaptive context intelligence or explainability,Missing intelligent context decision layer,High,Adaptive context intelligence before compression,Completed
P10,Vision-Centric Token Compression in Large Language Models,2025,"(Authors from first page)",NeurIPS,Token Compression,High computational cost due to large numbers of visual tokens,Compress redundant visual tokens before inference,Vision token compression with multimodal evaluation,"Multiple vision-language benchmarks",Reduced latency and memory usage with strong multimodal performance,Limited to visual token compression,Missing adaptive context intelligence for unified memory management,Medium,Adaptive context intelligence across textual and multimodal contexts,Completed
